title,url,video_duration,publication_date,number_of_views,channel,thumbnail_url,description
Ukrainian Ambassador Reads Texts From Russian Soldier Before He Was Killed,https://www.youtube.com/watch?v=TJHeltDiUfs,3:06,16 hours ago,4M views,NBC News,https://i.ytimg.com/vi/TJHeltDiUfs/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBBSoSAErKKFZna83MXa425A8DZ7A,Ukrainian Amb. Sergei Kyslytsya read out a screenshot of a text exchange between a Russian soldier and his mother from before he was killed during a meeting of the United Nations General Assembly....
Angus Cloud Goes Sneaker Shopping With Complex,https://www.youtube.com/watch?v=DikaNuSjzn4,10:56,20 hours ago,471K views,Complex,https://i.ytimg.com/vi/DikaNuSjzn4/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBRtCbfa21bk3jV0cckqf0AH3Ydbg,"Euphoria actor Angus Cloud goes Sneaker Shopping with Complex's Joe La Puma at Flight Club in New York City and talks finding classic Nikes at thrift stores, winning Foot Locker raffles, buying..."
Aretha Franklin's Granddaughter Grace Franklin's Sweet Audition - American Idol 2022,https://www.youtube.com/watch?v=_-w15cQwIgI,8:00,1 day ago,1.2M views,American Idol,https://i.ytimg.com/vi/_-w15cQwIgI/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLADIEzrVl_zzRHeMx3U3JQMJd8XsQ,"As a child, Grace traveled a lot with her grandmother... Aretha Franklin! She's here with her parents Kafi & Kecalf Cunningham. Grace feels like people expect her to sing like Aretha, ""but..."
The Batman - Movie Review,https://www.youtube.com/watch?v=vPgrkl7lEjU,,18 hours ago,686K views,Chris Stuckmann,,"Check out http://www.shelbyoaksmovie.com to be the first to receive updates related to the campaign that launches on March 1st! Chris Stuckmann reviews The Batman, starring Robert Pattinson,..."
MORBIUS - Final Trailer (HD),https://www.youtube.com/watch?v=SQK-QxxtE8Y,,21 hours ago,2.3M views,Sony Pictures Entertainment,,Let go of what you used to be. Discover who you’re meant to be. Watch the final trailer now. #Morbius is exclusively in movie theaters April 1. Visit our Site: https://www.morbius.movie...
When everyone is confused if we are actually SIBLINGS!!! #shorts,https://www.youtube.com/watch?v=RqmFECAZ91g,,20 hours ago,1.2M views,The Herberts,,
Fantastic Beasts: The Secrets of Dumbledore – Official Trailer 2,https://www.youtube.com/watch?v=DaM_wL1ZOM4,,20 hours ago,3.1M views,Warner Bros. Pictures,,Watch the new trailer for Fantastic Beasts: The Secrets of Dumbledore only in theaters April 15. #SecretsOfDumbledore ----------------- https://www.facebook.com/fantasticbeastsmovie/ https://www.i...
"McMaster says Putin ""got a lot more than he bargained for"" with Ukraine invasion",https://www.youtube.com/watch?v=e9BIS442PM8,,1 day ago,996K views,Face the Nation,,"H.R. McMaster, the former national security adviser and retired lieutenant general, says he thinks Putin ""is very vulnerable."" ""Face the Nation"" is America's premier Sunday morning public..."
Russian President Vladimir Putin puts his nuclear forces on standby | 7NEWS,https://www.youtube.com/watch?v=aYcm7eZcqXw,,1 day ago,648K views,7NEWS Australia,,"Russian President Vladimir Putin has upped the stakes over his invasion of Ukraine, ordering his nuclear forces to go on high alert. More Details: https://7news.link/3tbvCWZ Subscribe to..."
POV: You’re an Influencer Flexing at Bistro Huddy,https://www.youtube.com/watch?v=SdkEGWnfZAU,,18 hours ago,500K views,Drew Talbert,,"Sorry, you look so different in your pictures! Follow us on Instagram if you like! @drewtalbert @andreakelley (wife/co-writer) Or TikTok @drew_talbert Merch Store: www.bistrohuddy.com ..."
